datetime_beginning_utc,datetime_beginning_ept,area,wind_generation_mw
4/30/2018 2:00:00 PM,4/30/2018 10:00:00 AM,SOUTH,153.777
4/30/2018 2:00:00 PM,4/30/2018 10:00:00 AM,WEST,865.375
4/30/2018 2:00:00 PM,4/30/2018 10:00:00 AM,RTO,1835.624
4/30/2018 2:00:00 PM,4/30/2018 10:00:00 AM,RFC,1681.847
4/30/2018 1:00:00 PM,4/30/2018 9:00:00 AM,MIDATL,734.445
4/30/2018 1:00:00 PM,4/30/2018 9:00:00 AM,SOUTH,91.500
4/30/2018 1:00:00 PM,4/30/2018 9:00:00 AM,WEST,673.496
4/30/2018 1:00:00 PM,4/30/2018 9:00:00 AM,RTO,1499.441
4/30/2018 1:00:00 PM,4/30/2018 9:00:00 AM,RFC,1407.941
4/30/2018 12:00:00 PM,4/30/2018 8:00:00 AM,MIDATL,702.919
4/30/2018 12:00:00 PM,4/30/2018 8:00:00 AM,SOUTH,87.813
4/30/2018 12:00:00 PM,4/30/2018 8:00:00 AM,WEST,861.631
4/30/2018 12:00:00 PM,4/30/2018 8:00:00 AM,RTO,1652.363
4/30/2018 12:00:00 PM,4/30/2018 8:00:00 AM,RFC,1564.550
4/30/2018 11:00:00 AM,4/30/2018 7:00:00 AM,MIDATL,733.141
4/30/2018 11:00:00 AM,4/30/2018 7:00:00 AM,SOUTH,94.930
4/30/2018 11:00:00 AM,4/30/2018 7:00:00 AM,WEST,807.048
4/30/2018 11:00:00 AM,4/30/2018 7:00:00 AM,RTO,1635.119
4/30/2018 11:00:00 AM,4/30/2018 7:00:00 AM,RFC,1540.189
4/30/2018 10:00:00 AM,4/30/2018 6:00:00 AM,MIDATL,782.470
4/30/2018 10:00:00 AM,4/30/2018 6:00:00 AM,SOUTH,99.230
4/30/2018 10:00:00 AM,4/30/2018 6:00:00 AM,WEST,607.193
4/30/2018 10:00:00 AM,4/30/2018 6:00:00 AM,RTO,1488.893
4/30/2018 10:00:00 AM,4/30/2018 6:00:00 AM,RFC,1389.663
4/30/2018 9:00:00 AM,4/30/2018 5:00:00 AM,MIDATL,726.497
4/30/2018 9:00:00 AM,4/30/2018 5:00:00 AM,SOUTH,96.207
4/30/2018 9:00:00 AM,4/30/2018 5:00:00 AM,WEST,633.520
4/30/2018 9:00:00 AM,4/30/2018 5:00:00 AM,RTO,1456.224
4/30/2018 9:00:00 AM,4/30/2018 5:00:00 AM,RFC,1360.017
4/30/2018 8:00:00 AM,4/30/2018 4:00:00 AM,MIDATL,731.760
4/30/2018 8:00:00 AM,4/30/2018 4:00:00 AM,SOUTH,99.012
4/30/2018 8:00:00 AM,4/30/2018 4:00:00 AM,WEST,637.398
4/30/2018 8:00:00 AM,4/30/2018 4:00:00 AM,RTO,1468.170
4/30/2018 8:00:00 AM,4/30/2018 4:00:00 AM,RFC,1369.158
4/30/2018 7:00:00 AM,4/30/2018 3:00:00 AM,MIDATL,764.649
4/30/2018 7:00:00 AM,4/30/2018 3:00:00 AM,SOUTH,98.769
4/30/2018 7:00:00 AM,4/30/2018 3:00:00 AM,WEST,646.435
4/30/2018 7:00:00 AM,4/30/2018 3:00:00 AM,RTO,1509.853
4/30/2018 7:00:00 AM,4/30/2018 3:00:00 AM,RFC,1411.084
4/30/2018 6:00:00 AM,4/30/2018 2:00:00 AM,MIDATL,798.496
4/30/2018 6:00:00 AM,4/30/2018 2:00:00 AM,SOUTH,97.684
4/30/2018 6:00:00 AM,4/30/2018 2:00:00 AM,WEST,683.783
4/30/2018 6:00:00 AM,4/30/2018 2:00:00 AM,RTO,1579.963
4/30/2018 6:00:00 AM,4/30/2018 2:00:00 AM,RFC,1482.279
4/30/2018 5:00:00 AM,4/30/2018 1:00:00 AM,MIDATL,877.132
4/30/2018 5:00:00 AM,4/30/2018 1:00:00 AM,SOUTH,97.027
4/30/2018 5:00:00 AM,4/30/2018 1:00:00 AM,WEST,928.753
4/30/2018 5:00:00 AM,4/30/2018 1:00:00 AM,RTO,1902.912
4/30/2018 5:00:00 AM,4/30/2018 1:00:00 AM,RFC,1805.885
4/30/2018 4:00:00 AM,4/30/2018 12:00:00 AM,MIDATL,856.195
4/30/2018 4:00:00 AM,4/30/2018 12:00:00 AM,SOUTH,98.425
4/30/2018 4:00:00 AM,4/30/2018 12:00:00 AM,WEST,1523.960
4/30/2018 4:00:00 AM,4/30/2018 12:00:00 AM,RTO,2478.580
4/30/2018 4:00:00 AM,4/30/2018 12:00:00 AM,RFC,2380.155
