zone,zip,lat,lng,
AEP,45801,40.7613765,-84.0906588,x
ATSI,43605,41.6749207,-83.4822375,x
DAY,18707,41.1409285,-75.9202553,x
DEOK,45052,39.1511112,-84.7330889,x
DOM,23692,37.1735705,-76.4301785,x
DPL,19720,39.6629786,-75.5685845,x
DUQ,15077,40.6280594,-80.4224187,x
RECO,15235,40.4778187,-79.8101251,x
